Agency/Department,Contract Number,Contract Value,Supplier,Procurement Type,Description,Type of Solicitation,Effective From,Effective To
Public Utilities,15000014256,5000000.00,ITRON INC,Agency Request,Gas and Water automated parts,Commodity,01/31/2011 12:00:00 AM,03/04/2022 12:00:00 AM
Public Works,15000014906,550000.00,Bug Busters Pest Control Svcs Inc,Invitation to Bid,Extermination Maintenance Services/Term 3 of 3,"Non Professional Services, Non Technology",03/05/2015 12:00:00 AM,03/01/2021 12:00:00 AM
Public Works,15000024701,292408.18,Tru-Power Corporation,Invitation to Bid,"5 YEAR MAINTENANCE & SERVICE AGREEMENT/Term 1 of 10, with 5 one-year renewal options/150015111R","Non Professional Services, Non Technology",06/29/2015 12:00:00 AM,06/28/2026 12:00:00 AM
Police Department,16000003460,3399896.25,AXON ENTERPRISE INC,Agency Request,"SS/Service/RPD/Body Worn Camera/Initial Terms 5 years, with one (1) year renewal option/#160002601; MOD#4 $47,952.00 contract amt increase/addl. equip.; annual renewal amt $489,436.00 - Renewal 12/16/2020 - 12/15/2021",Equipment - Non Technology,12/16/2015 12:00:00 AM,12/15/2021 12:00:00 AM
Public Works,16000004637,2000000.00,Cargill Inc -Deicing Technology - INACTIVE,Invitation to Bid,180 Day extension to 3/2/21,"Supplies, Non Technology",09/03/2015 12:00:00 AM,03/02/2021 12:00:00 AM
Public Utilities,16000012397,1400000.00,CONSOLIDATED PIPE & SUPPLY,Invitation to Bid,"Modification #5; additional line item added, Goochland Gate Station Manifold ($53,476.00); Steel Fittings/Term 3 of 5/160010711","Supplies, Non Technology",02/01/2016 12:00:00 AM,07/31/2021 12:00:00 AM
Public Utilities,16000013450,7000000.00,ALLAN MYERS VA INC,Invitation to Bid,IFB/Commodity/COR/Asphalt/Term 5 of 5/Primary for Asphalt Delivered/160010108 / Currently in 270 of 365 day extension,Commodity,01/20/2016 12:00:00 AM,10/18/2021 12:00:00 AM
Public Works,16000013808,4003000.00,W & H Resources Inc,Invitation to Bid,IFB Requisition #T160010619 / Services - Non-Professional and Non-Technology / Department of Public Works / Elevator Repairs / Initial Term of three (3) years with seven (7) - one (1) year renewals and a one (1) year extension.,"Non Professional Services, Non Technology",01/29/2016 12:00:00 AM,05/28/2026 12:00:00 AM
Public Utilities,16000014527,5000000.00,CONSOLIDATED PIPE & SUPPLY,Invitation to Bid,Steel Pipe/ Term 5 of 5/160010707,"Supplies, Non Technology",02/19/2016 12:00:00 AM,08/18/2021 12:00:00 AM
Public Works,16000016420,6600000.00,MARTIN MARIETTA AGGREGATES,Invitation to Bid,Crushed Stone / Requisition #160015019 / Term 2 of 2/IFB #160015019/,Commodity,03/20/2016 12:00:00 AM,03/21/2022 12:00:00 AM
Public Utilities,16000017271,11357740.68,NUTRI BLEND INC,Invitation to Bid,IFB / Goods and Services / Department of Public Utilities / Dewatering and Disposal of Biosolids / Last 180 Day Extension,"Non Professional Services, Non Technology",03/17/2016 12:00:00 AM,03/13/2022 12:00:00 AM
City Wide,16000020193,161000.00,GONE 4 GOOD SHRED LLC,Invitation to Bid,IFB / Services - Non Professional and Non Technology / Department of Procurement Services / Initial Two (2) year with Two (2) - Two (2) year renewals and extension.,"Non Professional Services, Non Technology",05/09/2016 12:00:00 AM,08/09/2023 12:00:00 AM
Public Works,16000020929,3485521.45,Warwick Plumbing And Heating Corporation,Invitation to Bid,"IFB #H160007918 / Goods & Services / City Wide Contract / Annual Mechanical Contract - Maintenance, Repair and Installation / First 180 day extension of contract",Construction - Term,06/01/2016 12:00:00 AM,11/28/2021 12:00:00 AM
Public Works,16000022041,1050000.00,Manchester Marketing Inc,Request for Proposal,"Towing and Tow Lot Operations/ 5 year term, with 3,one-year renewals / On Renewal 1 of 3","Non Professional Services, Non Technology",06/23/2016 12:00:00 AM,06/22/2024 12:00:00 AM
Public Utilities,16000022833,1000000.00,LIBERTY SALES & DISTRIBUTION,Invitation to Bid,"Corrosion Tape, Paste, and Live Natural Gas Repair Kits/Term 4 of 5/160017160","Supplies, Non Technology",06/09/2016 12:00:00 AM,12/06/2021 12:00:00 AM
Emergency Communication,16000023675,989445.25,Intrado Inc - INACTIVE,Cooperative Agreement,Replaced by 21/6310 Supplier name change COOP/Com/DEC/911 Equipment & emergency Notification Software and Services /5 years/Houston -Galveston Area Council Contract No. EC07-14,"Non Professional Services, Technology",06/17/2016 12:00:00 AM,06/16/2021 12:00:00 AM
Emergency Communication,16000023999,33659597.45,MOTOROLA SOLUTIONS INC,Request for Proposal,Public Safety Land Mobile Radio System/20 years,Equipment - Non Technology,06/30/2016 12:00:00 AM,06/29/2036 12:00:00 AM
